OrderID,Date,Year,Quarter,Month,Region,Segment,Channel,Category,Product,SalesRep,Units,UnitPrice,Revenue,Cost,Profit
ORD-1000,2024-11-23,2024,Q4,Nov,North,Consumer,Online,Software,BI License,F. Shah,18,1136.32,20453.76,10060.41,10393.35
ORD-1001,2024-10-06,2024,Q4,Oct,North,SMB,Online,Software,Support Plan,B. Khan,3,981.45,2944.35,1518.08,1426.27
ORD-1002,2024-11-28,2024,Q4,Nov,North,SMB,Direct,Hardware,Peripheral,F. Shah,15,481.29,7219.35,3851.21,3368.14
ORD-1003,2024-08-04,2024,Q3,Aug,North,Enterprise,Partner,Services,Training,A. Rao,14,1099.46,15392.44,8480.9,6911.54
ORD-1004,2024-07-02,2024,Q3,Jul,West,SMB,Direct,Services,Implementation,E. Nair,3,990.27,2970.81,1814.77,1156.04
ORD-1005,2024-05-30,2024,Q2,May,South,SMB,Partner,Hardware,Peripheral,A. Rao,37,411.92,15241.04,7176.5,8064.54
ORD-1006,2024-04-29,2024,Q2,Apr,East,SMB,Partner,Software,Analytics Add-on,B. Khan,30,1417.69,42530.7,23793.79,18736.91
ORD-1007,2024-12-09,2024,Q4,Dec,South,Consumer,Direct,Services,Implementation,D. Iyer,5,932.38,4661.9,2337.2,2324.7
ORD-1008,2024-07-13,2024,Q3,Jul,North,Consumer,Direct,Services,Implementation,A. Rao,36,745.42,26835.12,14686.45,12148.67
ORD-1009,2024-06-10,2024,Q2,Jun,East,Enterprise,Direct,Services,Training,F. Shah,14,1078.31,15096.34,9362.06,5734.28
ORD-1010,2024-09-12,2024,Q3,Sep,East,SMB,Online,Services,Implementation,E. Nair,10,767.14,7671.4,4019.72,3651.68
ORD-1011,2024-08-07,2024,Q3,Aug,West,SMB,Direct,Hardware,Workstation,A. Rao,15,629.28,9439.2,4639.36,4799.84
ORD-1012,2024-02-26,2024,Q1,Feb,West,Enterprise,Online,Software,Support Plan,C. Mehta,28,1389.41,38903.48,21997.2,16906.28
ORD-1013,2024-10-10,2024,Q4,Oct,East,Consumer,Online,Software,Support Plan,C. Mehta,8,1450.83,11606.64,7092.71,4513.93
ORD-1014,2024-02-27,2024,Q1,Feb,East,Enterprise,Online,Services,Training,B. Khan,30,641.56,19246.8,12830.45,6416.35
ORD-1015,2024-09-16,2024,Q3,Sep,South,SMB,Online,Software,Support Plan,E. Nair,33,1398.46,46149.18,22883.15,23266.03
ORD-1016,2024-01-01,2024,Q1,Jan,East,SMB,Direct,Hardware,Workstation,A. Rao,2,390.2,780.4,436.16,344.24
ORD-1017,2024-05-03,2024,Q2,May,South,Enterprise,Direct,Hardware,Server,F. Shah,32,580.33,18570.56,13805.27,4765.29
ORD-1018,2024-08-31,2024,Q3,Aug,South,SMB,Online,Hardware,Server,F. Shah,34,595.56,20249.04,11682.51,8566.53
ORD-1019,2024-12-19,2024,Q4,Dec,West,SMB,Online,Software,Support Plan,D. Iyer,26,1676.51,43589.26,28113.48,15475.78
ORD-1020,2024-03-02,2024,Q1,Mar,South,Enterprise,Direct,Software,BI License,A. Rao,22,975.14,21453.08,13218.88,8234.2
ORD-1021,2024-12-28,2024,Q4,Dec,North,Enterprise,Online,Hardware,Server,B. Khan,5,604.46,3022.3,2139.46,882.84
ORD-1022,2024-05-22,2024,Q2,May,West,Enterprise,Direct,Hardware,Workstation,D. Iyer,35,395.72,13850.2,10119.71,3730.49
ORD-1023,2024-07-27,2024,Q3,Jul,North,Enterprise,Online,Software,BI License,F. Shah,28,1215.09,34022.52,19506.15,14516.37
ORD-1024,2024-11-26,2024,Q4,Nov,South,SMB,Direct,Software,BI License,E. Nair,22,1536.43,33801.46,16318.69,17482.77
ORD-1025,2024-08-17,2024,Q3,Aug,North,Enterprise,Partner,Software,Analytics Add-on,E. Nair,18,1293.09,23275.62,16580.29,6695.33
ORD-1026,2024-02-20,2024,Q1,Feb,South,Consumer,Direct,Software,Support Plan,D. Iyer,1,1657.68,1657.68,1206.64,451.04
ORD-1027,2024-09-05,2024,Q3,Sep,West,SMB,Partner,Services,Consulting,D. Iyer,4,719.03,2876.12,1296.11,1580.01
ORD-1028,2024-05-26,2024,Q2,May,South,Consumer,Partner,Services,Implementation,B. Khan,36,957.7,34477.2,20548.46,13928.74
ORD-1029,2024-01-30,2024,Q1,Jan,West,Consumer,Online,Hardware,Peripheral,E. Nair,4,561.95,2247.8,1050.06,1197.74
ORD-1030,2024-03-21,2024,Q1,Mar,South,Enterprise,Partner,Software,Support Plan,A. Rao,12,1009.34,12112.08,5697.38,6414.7
ORD-1031,2024-10-18,2024,Q4,Oct,East,Consumer,Partner,Software,Support Plan,B. Khan,3,1405.95,4217.85,2428.5,1789.35
ORD-1032,2024-12-08,2024,Q4,Dec,East,Enterprise,Partner,Hardware,Workstation,C. Mehta,17,466.86,7936.62,5170.76,2765.86
ORD-1033,2024-02-07,2024,Q1,Feb,South,Consumer,Online,Software,Analytics Add-on,C. Mehta,37,1677.19,62056.03,29289.09,32766.94
ORD-1034,2024-03-08,2024,Q1,Mar,East,Enterprise,Online,Services,Consulting,F. Shah,24,776.79,18642.96,10840.05,7802.91
ORD-1035,2024-09-27,2024,Q3,Sep,South,Consumer,Partner,Software,Support Plan,A. Rao,20,1630.86,32617.2,15691.35,16925.85
ORD-1036,2024-02-24,2024,Q1,Feb,East,Enterprise,Direct,Hardware,Peripheral,F. Shah,18,436.07,7849.26,4028.15,3821.11
ORD-1037,2024-11-20,2024,Q4,Nov,North,SMB,Online,Services,Implementation,D. Iyer,17,1074.56,18267.52,12857.25,5410.27
ORD-1038,2024-05-21,2024,Q2,May,West,SMB,Online,Software,BI License,F. Shah,9,1418.72,12768.48,6749.25,6019.23
ORD-1039,2024-08-06,2024,Q3,Aug,South,Enterprise,Online,Hardware,Server,A. Rao,5,615.16,3075.8,2021.74,1054.06
ORD-1040,2024-07-08,2024,Q3,Jul,North,Enterprise,Partner,Hardware,Peripheral,B. Khan,28,394.41,11043.48,5990.84,5052.64
ORD-1041,2024-12-15,2024,Q4,Dec,West,Enterprise,Online,Software,Support Plan,F. Shah,23,1521.68,34998.64,25032.44,9966.2
ORD-1042,2024-03-20,2024,Q1,Mar,East,Enterprise,Partner,Software,BI License,F. Shah,27,977.85,26401.95,17714.9,8687.05
ORD-1043,2024-05-07,2024,Q2,May,West,Consumer,Direct,Services,Consulting,B. Khan,7,823.62,5765.34,2661.38,3103.96
ORD-1044,2024-08-23,2024,Q3,Aug,East,Enterprise,Partner,Services,Training,A. Rao,15,651.36,9770.4,4962.77,4807.63
ORD-1045,2024-05-22,2024,Q2,May,East,Consumer,Direct,Services,Implementation,A. Rao,26,966.17,25120.42,17662.13,7458.29
ORD-1046,2024-05-13,2024,Q2,May,East,SMB,Partner,Software,Support Plan,E. Nair,3,1038.05,3114.15,1807.36,1306.79
ORD-1047,2024-09-18,2024,Q3,Sep,North,Consumer,Online,Software,Analytics Add-on,E. Nair,13,1143.4,14864.2,9849.55,5014.65
ORD-1048,2024-12-17,2024,Q4,Dec,East,Consumer,Online,Hardware,Peripheral,C. Mehta,13,458.34,5958.42,2806.37,3152.05
ORD-1049,2024-12-05,2024,Q4,Dec,West,SMB,Online,Software,Support Plan,C. Mehta,33,1182.68,39028.44,22344.48,16683.96
ORD-1050,2024-10-10,2024,Q4,Oct,East,SMB,Partner,Software,BI License,E. Nair,25,1447.67,36191.75,26088.52,10103.23
ORD-1051,2024-01-01,2024,Q1,Jan,East,Enterprise,Partner,Services,Training,D. Iyer,28,1017.16,28480.48,17999.62,10480.86
ORD-1052,2024-08-14,2024,Q3,Aug,South,Consumer,Online,Hardware,Server,A. Rao,31,574.31,17803.61,13138.17,4665.44
ORD-1053,2024-05-25,2024,Q2,May,South,Consumer,Online,Hardware,Peripheral,C. Mehta,40,450.5,18020.0,12533.4,5486.6
ORD-1054,2024-04-25,2024,Q2,Apr,North,Enterprise,Partner,Software,BI License,D. Iyer,3,1136.29,3408.87,2019.89,1388.98
ORD-1055,2024-11-18,2024,Q4,Nov,North,Consumer,Direct,Hardware,Server,D. Iyer,25,493.48,12337.0,6454.66,5882.34
ORD-1056,2024-04-22,2024,Q2,Apr,North,Consumer,Partner,Software,Support Plan,B. Khan,30,996.16,29884.8,15682.33,14202.47
ORD-1057,2024-08-25,2024,Q3,Aug,West,Consumer,Online,Hardware,Peripheral,F. Shah,39,445.67,17381.13,11759.64,5621.49
ORD-1058,2024-09-15,2024,Q3,Sep,East,SMB,Direct,Services,Implementation,F. Shah,11,996.95,10966.45,6496.55,4469.9
ORD-1059,2024-05-21,2024,Q2,May,East,Consumer,Direct,Hardware,Workstation,C. Mehta,16,434.14,6946.24,3287.27,3658.97
ORD-1060,2024-06-20,2024,Q2,Jun,South,Enterprise,Online,Services,Implementation,B. Khan,9,712.4,6411.6,3621.98,2789.62
ORD-1061,2024-02-02,2024,Q1,Feb,West,SMB,Partner,Services,Training,E. Nair,35,863.64,30227.4,14166.97,16060.43
ORD-1062,2024-12-22,2024,Q4,Dec,West,SMB,Partner,Software,Support Plan,E. Nair,31,964.25,29891.75,16605.69,13286.06
ORD-1063,2024-10-06,2024,Q4,Oct,West,SMB,Partner,Hardware,Server,F. Shah,15,433.69,6505.35,3875.19,2630.16
ORD-1064,2024-12-13,2024,Q4,Dec,North,Enterprise,Partner,Services,Implementation,E. Nair,30,1081.38,32441.4,24143.43,8297.97
ORD-1065,2024-10-15,2024,Q4,Oct,North,Enterprise,Partner,Hardware,Server,D. Iyer,28,396.64,11105.92,6535.94,4569.98
ORD-1066,2024-06-16,2024,Q2,Jun,West,SMB,Partner,Software,Analytics Add-on,A. Rao,22,1508.09,33177.98,18703.68,14474.3
ORD-1067,2024-08-28,2024,Q3,Aug,North,Consumer,Online,Software,Support Plan,A. Rao,4,1679.93,6719.72,3729.36,2990.36
ORD-1068,2024-01-16,2024,Q1,Jan,North,Enterprise,Online,Software,BI License,B. Khan,40,1069.72,42788.8,20875.21,21913.59
ORD-1069,2024-08-26,2024,Q3,Aug,North,SMB,Direct,Hardware,Workstation,C. Mehta,11,523.59,5759.49,4256.96,1502.53
ORD-1070,2024-02-25,2024,Q1,Feb,West,SMB,Online,Hardware,Server,B. Khan,37,542.88,20086.56,14812.87,5273.69
ORD-1071,2024-02-08,2024,Q1,Feb,North,Consumer,Online,Hardware,Peripheral,A. Rao,16,387.51,6200.16,4226.92,1973.24
ORD-1072,2024-06-26,2024,Q2,Jun,North,Consumer,Partner,Hardware,Workstation,D. Iyer,24,378.62,9086.88,5854.34,3232.54
ORD-1073,2024-02-24,2024,Q1,Feb,East,Consumer,Online,Services,Training,E. Nair,30,979.51,29385.3,17062.46,12322.84
ORD-1074,2024-09-04,2024,Q3,Sep,North,Consumer,Partner,Services,Training,D. Iyer,38,768.83,29215.54,20611.97,8603.57
ORD-1075,2024-05-04,2024,Q2,May,East,Consumer,Direct,Services,Implementation,D. Iyer,25,801.47,20036.75,11987.83,8048.92
ORD-1076,2024-04-18,2024,Q2,Apr,East,SMB,Online,Services,Training,A. Rao,18,1062.55,19125.9,12629.89,6496.01
ORD-1077,2024-09-21,2024,Q3,Sep,West,Enterprise,Online,Software,BI License,F. Shah,27,1311.78,35418.06,23993.94,11424.12
ORD-1078,2024-09-08,2024,Q3,Sep,East,Enterprise,Online,Services,Consulting,E. Nair,19,746.37,14181.03,9324.54,4856.49
ORD-1079,2024-07-07,2024,Q3,Jul,East,Consumer,Partner,Services,Implementation,F. Shah,23,844.24,19417.52,13083.15,6334.37
ORD-1080,2024-08-20,2024,Q3,Aug,North,SMB,Online,Services,Training,E. Nair,15,697.91,10468.65,5315.72,5152.93
ORD-1081,2024-12-19,2024,Q4,Dec,East,Enterprise,Direct,Software,BI License,B. Khan,31,1159.08,35931.48,22524.59,13406.89
